operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,"-34.6112509032,-58.5748905772",85000,USD,1288804,85000,,,,,,,
sell,apartment,|Argentina|Capital Federal|Caballito|,,,,,,42,36,,,,1,
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.643496,-58.555473",66000,USD,1000718.4,66000,,42,,1571.428571,,2,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|General Rodríguez|,"-34.5982897304,-58.8808022212",349900,ARS,348928.82,23012.77,300,80,76.70923333,4373.75,,,
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6044029,-58.418703",149000,USD,2259197.6,149000,76,76,1960.526316,1960.526316,10,4,1100
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|,"-34.7600020172,-58.4040788524",65000,USD,985556,65000,,,,,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|,"-34.748271947,-58.410358498",289900,USD,4395579.76,289900,,,,,,,
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5628985,-58.4652556",199000,USD,3017317.6,199000,66,63,3015.151515,3158.730159,,3,2500
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5800468,-58.6000705",65000,USD,985556,65000,,,,,,1,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Haras del Pilar - Las Praderas 1 y 2|,"-34.411796,-58.843546",280000,USD,4245472,280000,,160,,1750,,4,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.6507909,-58.5559172",90000,USD,1364616,90000,,48,,1875,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Banfield|,"-34.7452006,-58.3964872",88000,USD,1334291.2,88000,0,47,,1872.340426,,2,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,"-34.4839185844,-58.5691008273",920000,USD,13949408,920000,449,449,2048.997773,2048.997773,,5,
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6277809,-58.4324201",,,,,0,36,,,,1,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|,"-34.4430814,-58.5572346",387000,USD,5867848.8,387000,400,200,967.5,1935,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.4277023,-58.5764369",145000,USD,2198548,145000,80,75,1812.5,1933.333333,4,,
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.5986461,-58.39644",283700,USD,4301572.88,283700,113,109,2510.619469,2602.752294,,1,2100
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,"-34.6392322907,-58.5969155619",,,,,270,200,,,,,
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5947193,-58.4399432",194000,USD,2941505.6,194000,125,,1552,,,3,
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|,"-34.566667,-58.533333",340000,USD,5155216,340000,250,160,1360,2125,,4,100
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6037137392,-58.3815808896",85000,USD,1288804,85000,0,0,,,,3,600
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|City Bell|,"-34.8679929886,-58.0453457838",,,,,300,110,,,,5,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,"-34.915627,-57.9729443",90000,USD,1364616,90000,48,45,1875,2000,,,
sell,store,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Del Viso|,"-34.438442,-58.793199",381000,USD,5776874.4,381000,175,175,2177.142857,2177.142857,,,
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6171601,-58.4566753",74400,USD,1128082.56,74400,35,31,2125.714286,2400,,1,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|,"-34.436115,-58.5612752",92000,USD,1394940.8,92000,53,0,1735.849057,,2,,
sell,house,|Argentina|Capital Federal|Saavedra|,"-34.5459622,-58.4770866",380000,USD,5761712,380000,300,280,1266.666667,1357.142857,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Acassuso|,"-34.4823688,-58.5039488",360000,USD,5458464,360000,212,198,1698.113208,1818.181818,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Villa Luzuriaga|,"-34.651373,-58.583565",73000,USD,1106855.2,73000,,40,,1825,,2,
sell,store,|Argentina|Capital Federal|Belgrano|,"-34.568007,-58.472253",144000,USD,2183385.6,144000,,20,,7200,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,98000,USD,1485915.2,98000,30,55,3266.666667,1781.818182,,2,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|San Fernando|,"-34.4444789,-58.5516189",81200,USD,1231186.88,81200,43,39,1888.372093,2082.051282,3,2,
sell,PH,|Argentina|Capital Federal|Balvanera|,"-34.617683,-58.400306",86000,USD,1303966.4,86000,,55,,1563.636364,,3,
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.624943,-58.416152",130000,USD,1971112,130000,,70,,1857.142857,,3,
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.5995053,-58.4019575",140000,USD,2122736,140000,83,83,1686.746988,1686.746988,1,3,1200
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Ciudadela|,"-34.6266499928,-58.5605256583",100000,USD,1516240,100000,125,105,800,952.3809524,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Acassuso|,"-34.480453,-58.5069162",165000,USD,2501796,165000,60,57,2750,2894.736842,,3,1380
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6538838,-58.6151787",64000,USD,970393.6,64000,30,30,2133.333333,2133.333333,,,
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.61098,-58.417856",179869,USD,2727245.72,179869,77,71,2335.961039,2533.366197,,3,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5075624,-58.47782",427000,USD,6474344.8,427000,115,91,3713.043478,4692.307692,8,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.4204384,-58.5759132",120000,USD,1819488,120000,,52,,2307.692308,3,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Del Viso|,"-34.435545,-58.795528",,,,,95,72,,,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|Barrio Los Alisos|,"-34.4008522,-58.67071533",540000,USD,8187696,540000,,,,,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|,"-34.4859728,-58.545935",550000,USD,8339320,550000,1180,285,466.1016949,1929.824561,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,"-34.6558217,-58.6185651",56000,USD,849094.4,56000,42,42,1333.333333,1333.333333,,2,
sell,apartment,|Argentina|Capital Federal|San Telmo|,"-34.619725,-58.377264",,,,,55,50,,,,2,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,"-34.6516861,-58.6458914",135000,USD,2046924,135000,,,,,,2,
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Quilmes|,"-34.7324115,-58.2467211",,,,,328,285,,,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Villa Udaondo|,"-34.6092254,-58.6840058",,,,,1500,350,,,,,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,"-34.4887628,-58.5010475",160000,USD,2425984,160000,59,59,2711.864407,2711.864407,3,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.6517461407,-58.5521916635",163000,USD,2471471.2,163000,,105,,1552.380952,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Longchamps|,"-34.854899,-58.386819",145000,USD,2198548,145000,,120,,1208.333333,,3,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,128000,USD,1940787.2,128000,68,48,1882.352941,2666.666667,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,"-34.5080751,-58.5742794",120000,USD,1819488,120000,,,,,,,
sell,apartment,|Argentina|Capital Federal|Saavedra|,"-34.5546524,-58.4936437",100537,USD,1524382.2,100537,52,30,1933.403846,3351.233333,,1,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|San Justo|,"-34.6738693,-58.5619616",104000,USD,1576889.6,104000,65,58,1600,1793.103448,,,
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,,85000,USD,1288804,85000,90,70,944.4444444,1214.285714,,3,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,,,,,86,120,,,,4,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,"-38.9525319,-68.1199855",120000,USD,1819488,120000,100,100,1200,1200,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|El Canton Barrio Puerto|,"-34.354066,-58.738275",240000,USD,3638976,240000,,178,,1348.314607,,4,
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Ezeiza|Canning|,"-34.8774416,-58.5060392",125000,USD,1895300,125000,58,42,2155.172414,2976.190476,,1,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|,"-34.6324106,-58.6876704",,,,,0,,,,,,
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Presidente Perón|,"-34.9409895,-58.3861011",250000,USD,3790600,250000,2438,300,102.5430681,833.3333333,,4,
sell,PH,|Argentina|Capital Federal|Floresta|,"-34.6376746,-58.4869116",150000,USD,2274360,150000,83,83,1807.228916,1807.228916,,3,
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,"-34.6535781,-58.7296663",135000,USD,2046924,135000,280,135,482.1428571,1000,,3,
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.5899535,-58.4147517",328000,USD,4973267.2,328000,140,140,2342.857143,2342.857143,3,5,5900
